group,mean_gc_skew,mean_gc_skew_stddev,n
Caulacanthaceae,0.0046423168189025765,0.15645182784308168,851
Trebouxiales,0.014597884059066903,0.1208867071766936,833
Diplopoda,-0.07939477085257302,0.3277315242184103,826
Anthocerotopsida,-0.0019484616465683517,0.1333848680775976,817
Desmidiales,0.006255176928982295,0.12270434644886978,792
Batrachospermaceae,-0.007929062199214187,0.14914121624617452,776
Porphyridium,-0.009254496886725486,0.15094971615432518,737
Trentepohliales,-0.004249001061642622,0.1369506182114538,737
Ulotrichales,-0.005127738740155065,0.12022041237075104,721
Hildenbrandiaceae,0.016888695200347806,0.14142895954060442,713
Pyropia,-0.00902368235826565,0.13975657197869457,660
Scleralcyonacea,0.05477716363258018,0.09531697829939367,655
Sphagnophytina,0.005386731174790746,0.11538312304295499,649
Porphyra,-0.012290587108700127,0.14432821354745967,610
Pycnogonida,-0.21267800072306825,0.22499490820093918,591
Palmariaceae,-0.005353455210038388,0.1386574290874787,589
Ahnfeltiaceae,0.0009600416301410799,0.14839681302080168,585
Klebsormidiales incertae sedis,0.0004211738273698365,0.10211382006403344,559
Nephroselmidaceae,0.001942879278633494,0.1086686765798832,543
Chlorodendrales,-0.010767174679383273,0.11992423130566773,533
Phyllophoraceae,0.021483352468412747,0.15321056346896605,533
Rhabditophora,0.29342927698193316,0.17782881835889866,515
Isochrysidaceae,0.02762436664170347,0.13075326195812625,506
Acrochaetiaceae,-0.004398840826246683,0.13814803965744818,490
Zoantharia,0.07793781129912251,0.05418727337361797,488
Galaxauraceae,0.015682034750792898,0.1574550044951326,484
Prasiolales,0.013090847026630426,0.13529413262510562,475
Phaeocystaceae,0.024030223914334223,0.14252891845214385,469
Bangia,-0.023891493305697144,0.13615960045195397,461
Characeae,-0.004696432897253603,0.11547488382181172,438
Synurales,-0.007765120075197483,0.16329784558828556,436
Neopyropia,0.005732740025627871,0.14436792091308606,434
Bigelowiella,0.00386931190791744,0.14089835139155954,426
Pyramimonadaceae,-0.00039303085668359293,0.1325727992752471,382
Entomophthoromycetes,0.18847438346480097,0.15342928631066402,369
Siphonophorae,0.07653095576149176,0.1031627346977913,353
Kryptoperidiniaceae,0.01044344915302411,0.13313490487440569,344
Jenufa,0.02202732431226738,0.1270242454303575,331
Pythiaceae,-0.0019535023842850233,0.17453187527469782,325
Oligostraca,-0.3333497860648994,0.2664256618608575,322
Enopla,0.3237164117589464,0.15620324089784252,309
Palaeacanthocephala,0.39187688736684356,0.28735829333941676,303
Haplomitriopsida,0.007900832166133827,0.11797988005540024,302
Spirotrichea,0.017016088984692722,0.17198527577459366,300
Wildemania,-0.015077678970522118,0.13804774996408622,300
Solieriaceae,-0.01070437863269751,0.1455858267038394,298
Cyanidium,-0.034450988378127795,0.15018888714951634,291
Bonnemaisoniaceae,-0.01597834671174981,0.18098478128372125,289
Cyanidiococcus,0.02884206637541473,0.16673168760414597,286
Rhodymeniaceae,-0.000833977664231112,0.143642590006231,286
Sporolithaceae,-0.015956170142021275,0.1618336492214838,283
Pulvinaster,0.009953094736682665,0.16264471349600165,282
Thoreaceae,-0.02746166689016006,0.1570888156890674,277
Madagascaria,0.01328126926584665,0.13872206358257982,276
Plocamiaceae,-0.011148898078566699,0.17606924833136886,276
Sahlingia,-0.015418109801475321,0.13889865531423617,276
Porolithaceae,-0.008335496449627397,0.15476653588146486,275
Compsopogon,0.01766410225224138,0.1542857225205765,274
Spongitidaceae,-0.005874195873646599,0.14053257037413647,273
Pseudoerythrocladia,0.011670681264766272,0.1373433995222866,272
Pedinomonadaceae,0.0091488552056551,0.12513113473716883,271
Endocladiaceae,0.002432971019272566,0.13353003164626703,265
Andreaeophytina,0.010876639232605723,0.1217241753121366,264
Erythrolobus,-0.011842536104209522,0.14716732044735523,261
Spyridiaceae,0.0019818422082116113,0.15472701579081674,251
Glaucosphaera,0.008823757297821882,0.14870240674786975,249
Goniochloridales,0.05026025237433427,0.13352448715587653,249
Ignatiaceae,-0.010127655642071274,0.1160251576507724,248
Spongillida,0.1597124925653835,0.09273265924741046,247
Chlorokybaceae,0.02197990201076322,0.12175315013914674,246
Rhodella,-0.009260594779109588,0.1464125581149927,245
Parmales,0.0026128349493368245,0.15568728726853842,242
Scinaiaceae,0.00819995992227197,0.13973975535624839,242
Balbianiaceae,0.00020197053073557823,0.13679959257228863,239
Dixoniella,0.012664851038647437,0.15682013780019718,239
Schizymeniaceae,-6.443813313399929e-06,0.15096965648485836,239
Sebdeniaceae,-0.011651313617415945,0.1644425366406007,238
Nemaliaceae,0.00014010107665916115,0.13122610922736036,237
Schimmelmanniaceae,-0.006581260613906334,0.16625082838223568,236
Champiaceae,-0.012986464751101701,0.15489551418951203,233
